video_name,caption,category
-88OcTs9MPs_5-8-rgb_front,So we've completed our little pin cushion doll and I think she's so cute she's just a personal little hand made that would make a fun gift for any seamstress that you know.,Positive
-8AYi1n0UWo_3-8-rgb_front,But I think she's so fantastic and she's going to look so great as my pin cushion.,Positive
-8AYi1n0UWo_4-8-rgb_front,She's going to look fantastic on my desk so I hope you had as much fun making her as I did.,Positive
-8EJ9aomFAc_5-8-rgb_front,"If someone is attacking you or something is coming at you, it?s harder to not jump on that and act very quickly and tell somebody how terrible they are or what a jerk they are or whatever it is.",Negative
-8EJ9aomFAc_6-8-rgb_front,"But try to stop, think about it so that the words that you say are not hurtful and more critical and negative and don't exacerbate the whole situation.",Negative
-8XxBfXAzyo_16-8-rgb_front,"The kids can add glitter to it, stickers, it's really easy to do and it's great if they are having a tea party with their friends.",Positive
-8XxBfXAzyo_18-8-rgb_front,"And again, it's a great recyclable craft if you have birthday party paper from a child's birthday.",Positive
-8tIt1vEinQ_5-8-rgb_front,"But, same thing with hems and everything, your outfit will be completely wrong if you have the curve going the wrong way.",Negative
-8uwu59w8QE_11-8-rgb_front,Yeah sure they look good together.,Positive
-916rCqIrfY_16_17_18-5-rgb_front,"I recommend strongly that original core that we talked about a long time ago have one person who is going to be the coordinator for vending, ideally you will have a vendor coordinator and someone also to handle food who may be with food booth or may understand industry.",Positive
-96cWDhR4hc_3-5-rgb_front,"(demo) I could have an attacker dealing with me over on this side, and I may have to kick him to stop him from grabbing while I deal with this other attacker.",Negative
-98tdkCF-sY_7-5-rgb_front,"But, I think it's a great way to kick, bring it up, out, (demo) just like this.",Positive
-9D6kP1TgbY_18-8-rgb_front,And then you have got a good staple right there nice and secure.,Positive
-9Kic0QsCYs_15-8-rgb_front,"Hi, this is Sean Hobson and what we're talking about right now is using the proper mechanics to become not only a good shooter, but a good shooter from the free throw line.",Positive
-9Kic0QsCYs_8-8-rgb_front,"So, remember when making a good free throw shot, its not just the shot, its also how you finish after the free throw that's going to make you a good free throw shooter.",Positive
-9_jI7kWiQY_2-8-rgb_front,"And then a little helpful thing that I like to do is before I connect my extension cord, to help keep it from coming unplugged while you're using it, we're going to tie a knot in the cord.",Positive
-9_jI7kWiQY_8-8-rgb_front,I like this mascara and the best way to apply your mascara and use your mascara brush is to start from the inner most part of your eyelash and wiggle and work your way up to the tip of your eyelash.,Positive
-9nBmSvp2Co_0-8-rgb_front,"Mascara brushes are sold at drug stores or your beauty supply store and they do come in different sizes, like I said, and it is best to change your mascara brush because it tends to build up bacteria and to clump.",Positive
-dK6mH2v-64_2-5-rgb_front,"If you can't get to it like that, you may have to get creative with a, like a chisel of some sort and just get a hammer and chisel it up, and then you can get a chisel from the other side and chisel that piece out.",Positive
0-0kX3XoMPQ_1-3-rgb_front,"But I found with all bulbs, they like to be in groups just like people do.",Positive
0-4j8fghNOE_4-5-rgb_front,"It really likes full, hot sun and good drainage, and hummingbirds love it.",Positive
0-QttpoWp_8_1-5-rgb_front,"And now grab a match or a lighter, and some friends to watch, go ahead and set the drink on fire, the 151 should light pretty easily, and let it sit, enjoy the luster of the flames, blow it out, and take it down.",Positive
0-_hOoXzsWw_0-5-rgb_front,"A lot of this stuff just takes a little bit of patience and innovation, but for example, this adaptive paddle with just these good old bike tire grips can be used for white water rafting, to help somebody grip the paddle while rafting, or even the Chosen Valley seat, like I mentioned before",Positive
0-_hOoXzsWw_1-5-rgb_front,"We don't have a raft here with us today, but again, just use a little bit of innovation and some patience to help modify a way to adjust the seat to the a rack frame, and we've taken it",Positive
0-vrO9sZ5ow_4-5-rgb_front,"I usually use pretty small ones unless I'm throwing something really large, and then sometimes I'll even use one, each one in each hand.",Positive
0-vrO9sZ5ow_6-5-rgb_front,"They seem to last a little better, but I really like the smoothness of the natural sponges, plus this angle I can get, sometimes I'll even cut my sponges actually just to get that edge that I need for certain shapes.",Positive
0-vrO9sZ5ow_7-5-rgb_front,This one I haven't cut and it fits perfectly in my hand.,Positive
0-zewtxhuR8_7-5-rgb_front,"Or pictures of some horses I saw in the paper that were, they had their noses together, looked like they were kissing and I thought that was really sweet.",Positive
002pHlZGEQ8_0-5-rgb_front,"What I like to do with my China cabinets or the ones that have glass is I like to put solid colors interesting pieces, bigger pieces, in it to create interest and to give color.",Positive
002pHlZGEQ8_13-5-rgb_front,You can use a China cabinet as an organizational piece but just play with it and make it look interesting.,Positive
00Cal635Wno_3-5-rgb_front,"Another thing, you've got to remember to breathe like I talked about last time, or you'll be up here giving your speech and I'll be so focused on your papers that I won't listen to you.",Positive
00Cal635Wno_7-5-rgb_front,"Never, ever in the middle of your speech tell me what a bad job you're doing or how bad I must think you are, or how sorry you are, because none of that's true.",Negative
00Fc7cZX1gM_21-5-rgb_front,The ball point pen is usually better because you can press harder and it gets a better transfer on the hand drawing of these stencils.,Positive
00kppw3aqus_3-3-rgb_front,"You just give it a couple of sprays, and make sure it's nice and clean.",Positive
00m1mQFF5zo_0-3-rgb_front,"So it's a pretty good serve, the good news about it is that you are able to really drill the ball at your opponent and a lot of people if you hit the ball at an angle about their shoulder height with a lot of pace, they have a hard time with it.",Positive
00xgNW3M4-4_17-3-rgb_front,"So it is good to start out head of the game and hopefully if you fuel properly, you will end your race hydrated and excited from your big win.",Positive
00xgNW3M4-4_30-3-rgb_front,"But the most important thing, the most important defense is going to be your topical skin application and your clothing treatment.",Positive
01Dnm-s8rNI_1-3-rgb_front,"We have one in Santa Rosa, Marin, Sacramento, Chico, Sacramento, Reno, Stockton, Fresno and Southern California. Each individual manager within the area is able to take the product, analyze zone market, be store specific with what they want to do in terms of the products, the distribution, the communication with the store and be able to really maximize our relationship with the store and be sure we have the best product going out to the stores.",Positive
01G_nWgaYAQ_10-3-rgb_front,Any type of damage to the chord is just leading to disaster.,Negative
01KR04fE7Fw_2-3-rgb_front,"So these one's have some potential, but I might want to bring into a shoe store to get some insoles in here and then maybe have them or myself just maybe hot glue back in some or super glue back in, some little rhinestones in there.",Positive
01j1UveqztE_10-3-rgb_front,They look like they could be a vintage with some great detailing on them.,Positive
01j1UveqztE_11-3-rgb_front,"And here's another pair. They don't look quite as vintage. They have a vintage flair to them. But just look for bows, look for prints, like the polk-a-dots and what not, looks for the nice heels like that.",Positive
01j1UveqztE_15-3-rgb_front,"Now, you might be lucky out there and find some vintage shoes that are in great condition.",Positive
01j1UveqztE_5-3-rgb_front,"But you're best bet, I think sometimes might be to just look online or just look in your shops for some vintage replica shoes and that there is some great tips on finding some vintage footwear to help round out and complete your vintage look.",Positive
01j1UveqztE_7-3-rgb_front,"Now, one type of vintage shoe that I absolutely love and a lot of vintage know hower's out there know they're really fun.",Positive
01j1UveqztE_8-3-rgb_front,"They look junky from a distance, but they're pretty darn cute.",Positive
01m9yM04RwY_11-3-rgb_front,"Enjoy the reactions, enjoy your magic as much as they're going to enjoy it and you will really love the art of magic.",Positive
01m9yM04RwY_16-3-rgb_front,"Really enjoy it, make it look effortless, make it look enjoyable to you and it will be to them as well.",Positive
01m9yM04RwY_19-3-rgb_front,It's a form of entertainment that helps people really relax.,Positive
01m9yM04RwY_7-3-rgb_front,"An extruder is a lot like a giant Play Dough factory, it just squeezes out one very long consistent piece of clay, and I like to use that a lot for many of my different handles.",Positive
01ucR6XreJw_10-5-rgb_front,Number one it can help you to create the style that you would like and the style that you are looking to achieve.,Positive
01ucR6XreJw_3-5-rgb_front,If you use a Boar's Head bristle then it will also help promote smoothness in your hair and it will help maintain frizz.,Positive
02QGTJlJYnM_21-8-rgb_front,"The catcher's mitt is smaller but thicker with more padding, which allows the--it protects the catcher's hand as the pitcher is throwing.",Positive
02WRxAwx-Bo_21-8-rgb_front,For one thing you want to indulge yourself in things that you like and surround yourself by supportive family and friends who understand the situation.,Positive
02WRxAwx-Bo_3-8-rgb_front,I would strongly recommend laughter is the best medicine.,Positive
02WRxAwx-Bo_5-8-rgb_front,So now that we've got that on there we want to make sure and press it all the way around the edge to make sure that it's nice and secure before we start throwing.,Positive
034pv2RSK8E_0-8-rgb_front,"The 8 ball will fall down, cue ball hits the 8 ball, everyone laughs, buys you drinks, and the mayor will hand you the key to the city.",Positive
038vE9JsU9I_0-8-rgb_front,"But if you're wanting something that looks more like a real animal, then you might want to do snake like slitted pupils.",Positive
03EzcoSP2pc_8-8-rgb_front,"If you find that your results are pretty good and you are like in a situation then, by all means go for the competition.",Positive
03VktV6bl7c_4-8-rgb_front,I actually want mine to come down a little further so I'm just going to go ahead and free hand it.,Positive
03WUE9zzQY4_13-8-rgb_front,"So it probably will come out of your fabrics a little easier but again, make sure you're spraying in an area that is nonporous, would be the best way to put that.",Positive
03lzv6OzJhE_12-8-rgb_front,That's perfectly acceptable,Positive
03lzv6OzJhE_5-8-rgb_front,These are things that are going to affect the taste of your espresso a lot and you are going to want to find the time that your particular coffee taste the best and play around with the grind adjustment.,Positive
03lzv6OzJhE_8-8-rgb_front,Some of the pros of being a high school teacher are your emotional commitment to your students and the incredible rewards that you get when they succeed.,Positive
03pzaOT7rPM_2-8-rgb_front,"But it will be, hopefully, a labor of love.",Positive
03pzaOT7rPM_6-8-rgb_front,Everybody knows teachers love this and also the opportunity to be your own boss.,Positive
03pzaOT7rPM_8-8-rgb_front,And you can tailor the curriculum usually to fit your talents and the way that the information will come easiest to your students.,Positive
03xD5BhCG94_24-8-rgb_front,"Once you make sure you have everything correct, you can start your acrylic application, but it's definitely good to make sure you've put on the bond aid, you've put on the primer, that you have all of your steps completed, and this is how you double check the work you've just done.",Positive
03xD5BhCG94_5-8-rgb_front,"This creature has flying, which means they can only be blocked by flying creatures and/or creatures with reach and ""Nightmare's"" cool power is that its power and toughness are equal to each of the number of swamps you control, which means that if you have 6 swamps, if you play this with all black mana, then you at least have a 6/6 creature with flying, which means your mana production is perfectly equal for this card, and/or you could play this card in any multicolored deck, and you could still get pretty much even mana production as long as you have enough swamps to put enough power and toughness on them.",Positive
04DtdCu2kfg_2-5-rgb_front,Always recommend having this behind the bar and take good care of it.,Positive
05snMPwCV98_1-5-rgb_front,"So it's two prong, keep your skin clean, well moisturized, use a spot treatment, Clarins has a great one, Lancome has a great one, there's one called Ambi that you can get in the drug store and that comes for oily skin or dry skin, and get that sunscreen on there.",Positive
05snMPwCV98_13-5-rgb_front,"From very, very expensive to great drug store brands, it's just a matter of what you're budget level is and what you're comfortable with.",Positive
06St8W_JHok_21-5-rgb_front,"Hemostats, those are good for mashing down the barbs on your hooks, also good for grabbing a hook and getting it out of fish's mouth, and these have a nice little feature here that you can actually mash the split shot down with.",Positive
06St8W_JHok_23-5-rgb_front,"This one's cool 'cause it's made out of a ceramic material, so it won't rust, and I've had that one for years and it's been in saltwater, it's been in fresh water, and it still keeps my hooks nice and sharp.",Positive
06Yvm4X81WI_1-5-rgb_front,"You want to lean your body weight, have it all the way through, to the heel of your hand, your left hand is not going to move very much, your right hand, you're going to use to bring the clay towards your left hand.",Positive
06Yvm4X81WI_7-5-rgb_front,"That being said, the more you can draw your heel down to the floor and sink forward, the more you're going to be gaining flexibility in the ankle and that's going to help your martial arts training, especially when we're doing kicks and using darthaflexion and Plantar flexion for thrusting forward",Positive
06bQ_DxQGJU_0-5-rgb_front,"And you hold your hand this way, the fingers closed and you are actually striking the horse with the side of your hand.",Positive
06d7cIO6KsA_2-5-rgb_front,"And again, ideally, your hand and your gaze is up at your hand.",Positive
06jk1stVwMI_18-5-rgb_front,"They are strong enough to step on, like I said, but people think they're too pretty to step on.",Positive
06jk1stVwMI_7-5-rgb_front,"They're so pretty. They are strong enough to step on. They're strong enough for water. They're going to make it through the seasons, if you do the couple of techniques to make it help--last through the ages.",Positive
06k75HRlfqc_1-8-rgb_front,But it is a purpose for which you have that you want to represent if you win the title of the pageant.,Positive
06k75HRlfqc_7-8-rgb_front,"Knead by hand, until you have the window, that's a very good question.",Positive
06k75HRlfqc_9-8-rgb_front,"It's best to watch it and just make sure the ingredients are mixed properly, without being over mixed.",Positive
077rQK39ycg_11-5-rgb_front,"And, again, not going 100%, you'll be able to extend that longer, and that's good training for you to keep in that training zone for a good 3 hours, and maybe that could be your Wednesday.",Positive
077rQK39ycg_21-5-rgb_front,"This was from my collection, that was inspired by She-ra and I did mostly, boy shorts that were comfortable, that if you were a superhero, you can move in them.",Positive
077rQK39ycg_29-5-rgb_front,"At first, it might be a little sore, but they'll feel better and they'll look better.",Positive
07U8pEf63Pw_14-5-rgb_front,What you want to do is make sure that you can control your frontside tailslide and pop out ninety degrees and even add like a little bit of an ollie or at least come out nice and level.,Positive
07ViW5BdEsw_14-1-rgb_front,Because bad balance you'll hit a bad shot.,Negative
07ViW5BdEsw_16_17-1-rgb_front,"So that ball was pretty straight, not quite as far as I'd like.",Positive
07mFG9turoU_8-5-rgb_front,But these balls are--it can be a great training tool especially when we talk about core strengthening and core stability.,Positive
08JotxFsA4Y_4-5-rgb_front,"And welcome, to the beautiful studios of Valley Free Radio, located in a basement.",Positive
08JotxFsA4Y_6-5-rgb_front,"All here, at beautiful, Valley Free Radio.",Positive
08UdcMPnTyU_0-5-rgb_front,"But you definitely want to be comfortable, so something with real soft fabrics that are pliable, that will actually sit well is something you might want to think about wearing, such as a velveteen or a velour just like demonstrated here.",Positive
08UdcMPnTyU_2-5-rgb_front,"For instance you can have a nice little flower in your boutonniere, and you can make that really nice and shiny and flashy and fun.",Positive
08hX7LrGPZQ_1-5-rgb_front,"So it's things such as major traumatic events, environmental things, such as tornadoes, hurricanes, any kind of things that might lead to traumas.",Negative
08hX7LrGPZQ_9-5-rgb_front,"So the best crawl for this is a leopard crawl, which is down on your knees and down on your elbows, and you're going to crawl pretty much like that.",Positive
08nsvHZLNfE_10-5-rgb_front,"When you're crawling on one good hand, make sure that you don't go palm down.",Positive
08nsvHZLNfE_17-5-rgb_front,"One other thing, speaking of health issues, if you think you're going to be crawling on a particular day, and you have bad wrists or you have bad joints, take preventative measures.",Negative
08nsvHZLNfE_33-5-rgb_front,Always make sure don't end that session with the bird doesn't get it you're frustrated you're angry and you just put the bird away that is the very worst way that you could ever end that for one you're not going to try training your bird again anytime soon and your bird's certainly not going to want to be trained again anytime soon because last time he tried and set out in that location and was with you he didn't have a good time.,Negative
08nsvHZLNfE_7-5-rgb_front,"With your left hand or your non-dominant hand, you're going to have your fingers curved.",Positive
097l3R1JCFQ_11-5-rgb_front,"As you do that, and do it slowly to learn, you're going to move your non-dominant hand, your fingers or your non-dominant hand, back so they're always out of range of the knife.",Positive
097l3R1JCFQ_4-5-rgb_front,"And I've selected celery because it has nice even stalks and it's a good, good way to practice.",Positive
09B_3NBFoM8_10-5-rgb_front,"I have two celery stalks with the bottoms and the tops, bottoms and tops cleaned off.",Positive
09B_3NBFoM8_2-5-rgb_front,Paint Rag is going to be your best friend.,Positive
